timestamp,dominant_emotion,happy,angry,sad,neutral
0,angry,0.46153846153846156,0.5384615384615385,0.0,0.0
1,angry,0.46153846153846156,0.5384615384615385,0.0,0.0
2,angry,0.46153846153846156,0.5384615384615385,0.0,0.0
3,angry,0.46153846153846156,0.5384615384615385,0.0,0.0
4,angry,0.46153846153846156,0.5384615384615385,0.0,0.0
5,angry,0.46153846153846156,0.5384615384615385,0.0,0.0
6,neutral,0.0,0.0,0.0,1.0
7,angry,0.46153846153846156,0.5384615384615385,0.0,0.0
8,happy,1.0,0.0,0.0,0.0
9,angry,0.46153846153846156,0.5384615384615385,0.0,0.0
10,angry,0.46153846153846156,0.5384615384615385,0.0,0.0
11,angry,0.46153846153846156,0.5384615384615385,0.0,0.0
12,angry,0.46153846153846156,0.5384615384615385,0.0,0.0
13,angry,0.46153846153846156,0.5384615384615385,0.0,0.0
14,angry,0.46153846153846156,0.5384615384615385,0.0,0.0
15,angry,0.46153846153846156,0.5384615384615385,0.0,0.0
16,neutral,0.0,0.0,0.0,1.0
17,happy,1.0,0.0,0.0,0.0
18,angry,0.46153846153846156,0.5384615384615385,0.0,0.0
19,angry,0.46153846153846156,0.5384615384615385,0.0,0.0
20,angry,0.46153846153846156,0.5384615384615385,0.0,0.0
21,angry,0.46153846153846156,0.5384615384615385,0.0,0.0
22,neutral,0.0,0.0,0.0,1.0
23,angry,0.46153846153846156,0.5384615384615385,0.0,0.0
24,angry,0.46153846153846156,0.5384615384615385,0.0,0.0
25,happy,1.0,0.0,0.0,0.0
26,angry,0.46153846153846156,0.5384615384615385,0.0,0.0
27,angry,0.46153846153846156,0.5384615384615385,0.0,0.0
28,angry,0.46153846153846156,0.5384615384615385,0.0,0.0
29,angry,0.46153846153846156,0.5384615384615385,0.0,0.0
30,happy,1.0,0.0,0.0,0.0
31,angry,0.46153846153846156,0.5384615384615385,0.0,0.0
32,angry,0.46153846153846156,0.5384615384615385,0.0,0.0
33,angry,0.46153846153846156,0.5384615384615385,0.0,0.0
34,angry,0.46153846153846156,0.5384615384615385,0.0,0.0
35,angry,0.46153846153846156,0.5384615384615385,0.0,0.0
36,happy,1.0,0.0,0.0,0.0
37,happy,1.0,0.0,0.0,0.0
38,angry,0.46153846153846156,0.5384615384615385,0.0,0.0
39,angry,0.46153846153846156,0.5384615384615385,0.0,0.0
40,angry,0.46153846153846156,0.5384615384615385,0.0,0.0
41,angry,0.46153846153846156,0.5384615384615385,0.0,0.0
42,angry,0.46153846153846156,0.5384615384615385,0.0,0.0
43,angry,0.46153846153846156,0.5384615384615385,0.0,0.0
44,angry,0.46153846153846156,0.5384615384615385,0.0,0.0
45,angry,0.46153846153846156,0.5384615384615385,0.0,0.0
46,angry,0.46153846153846156,0.5384615384615385,0.0,0.0
47,angry,0.46153846153846156,0.5384615384615385,0.0,0.0
48,angry,0.46153846153846156,0.5384615384615385,0.0,0.0
49,angry,0.46153846153846156,0.5384615384615385,0.0,0.0
